2025-02-21 07:58:09 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-21 08:44:59 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-21 15:08:53 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-21 20:23:55 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-21 20:36:55 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-22 03:01:09 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-23 05:04:17 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-23 20:51:33 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-24 11:30:34 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-24 12:20:23 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-24 17:46:11 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-24 21:30:23 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-25 02:25:11 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-25 14:16:19 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-26 08:31:11 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-26 10:49:08 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-26 12:37:09 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-26 13:01:09 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-26 18:42:23 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-27 09:50:28 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-27 10:51:19 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-27 13:44:20 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-02-27 20:08:59 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


2025-03-01 06:53:44 Notice: Notice (8): date_default_timezone_set(): Timezone ID '' is invalid in [/home/u491167942/domains/short.tunoticion.shop/public_html/src/Controller/Member/UsersController.php, line 791]


